"Species" "SiteID" "Surface Type" "Plant growth type" "Biome" "Quantity" "Value"
"1" "Protea lorifolia" "2a" "shale" "Protea" "Fynbos" "Area cover in 1994 (cm^2)" 0
"2" "Protea lorifolia" "2a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 0
"3" "Protea lorifolia" "2a" "shale" "Protea" "Fynbos" "Number of individuals in 1994" 0
"4" "Protea lorifolia" "2a" "shale" "Protea" "Fynbos" "Area cover in 2008 (cm^2)" 0
"5" "Protea lorifolia" "2a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"6" "Protea lorifolia" "2a" "shale" "Protea" "Fynbos" "Number of individuals in 2008" 0
"7" "Protea lorifolia" "2a" "shale" "Protea" "Fynbos" "Area cover in 2012 (cm^2)" 0
"8" "Protea lorifolia" "2a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"9" "Protea lorifolia" "2a" "shale" "Protea" "Fynbos" "Number of individuals in 2012" 0
"10" "Protea lorifolia" "2b" "sandstone" "Protea" "Fynbos" "Area cover in 1994 (cm^2)" 1177
"11" "Protea lorifolia" "2b" "sandstone" "Protea" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 602
"12" "Protea lorifolia" "2b" "sandstone" "Protea" "Fynbos" "Number of individuals in 1994" 43
"13" "Protea lorifolia" "2b" "sandstone" "Protea" "Fynbos" "Area cover in 2008 (cm^2)" 22500
"14" "Protea lorifolia" "2b" "sandstone" "Protea" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 12990
"15" "Protea lorifolia" "2b" "sandstone" "Protea" "Fynbos" "Number of individuals in 2008" 3
"16" "Protea lorifolia" "2b" "sandstone" "Protea" "Fynbos" "Area cover in 2012 (cm^2)" 32000
"17" "Protea lorifolia" "2b" "sandstone" "Protea" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"18" "Protea lorifolia" "2b" "sandstone" "Protea" "Fynbos" "Number of individuals in 2012" 1
