"Species" "SiteID" "Surface Type" "Plant growth type" "Biome" "Measure" "Value"
"1" "Schotia latifolia" "2a" "shale" "Tree" "Thicket" "Area cover in 1994 (cm^2)" 119
"2" "Schotia latifolia" "2a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" 131
"3" "Schotia latifolia" "2a" "shale" "Tree" "Thicket" "Number of individuals in 1994" 22
"4" "Schotia latifolia" "2a" "shale" "Tree" "Thicket" "Area cover in 2008 (cm^2)" NA
"5" "Schotia latifolia" "2a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"6" "Schotia latifolia" "2a" "shale" "Tree" "Thicket" "Number of individuals in 2008" NA
"7" "Schotia latifolia" "2a" "shale" "Tree" "Thicket" "Area cover in 2012 (cm^2)" 1708
"8" "Schotia latifolia" "2a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 1785
"9" "Schotia latifolia" "2a" "shale" "Tree" "Thicket" "Number of individuals in 2012" 10
"10" "Schotia latifolia" "2b" "sandstone" "Tree" "Thicket" "Area cover in 1994 (cm^2)" 263
"11" "Schotia latifolia" "2b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" 315
"12" "Schotia latifolia" "2b" "sandstone" "Tree" "Thicket" "Number of individuals in 1994" 24
"13" "Schotia latifolia" "2b" "sandstone" "Tree" "Thicket" "Area cover in 2008 (cm^2)" NA
"14" "Schotia latifolia" "2b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"15" "Schotia latifolia" "2b" "sandstone" "Tree" "Thicket" "Number of individuals in 2008" NA
"16" "Schotia latifolia" "2b" "sandstone" "Tree" "Thicket" "Area cover in 2012 (cm^2)" 0
"17" "Schotia latifolia" "2b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 0
"18" "Schotia latifolia" "2b" "sandstone" "Tree" "Thicket" "Number of individuals in 2012" 0
"19" "Schotia latifolia" "3" "africa" "Tree" "Thicket" "Area cover in 1994 (cm^2)" 1052
"20" "Schotia latifolia" "3" "africa" "Tree" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" NA
"21" "Schotia latifolia" "3" "africa" "Tree" "Thicket" "Number of individuals in 1994" 22
"22" "Schotia latifolia" "3" "africa" "Tree" "Thicket" "Area cover in 2008 (cm^2)" NA
"23" "Schotia latifolia" "3" "africa" "Tree" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"24" "Schotia latifolia" "3" "africa" "Tree" "Thicket" "Number of individuals in 2008" NA
"25" "Schotia latifolia" "3" "africa" "Tree" "Thicket" "Area cover in 2012 (cm^2)" 1625
"26" "Schotia latifolia" "3" "africa" "Tree" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 1370
"27" "Schotia latifolia" "3" "africa" "Tree" "Thicket" "Number of individuals in 2012" 25
"28" "Schotia latifolia" "4a" "shale" "Tree" "Thicket" "Area cover in 1994 (cm^2)" 128
"29" "Schotia latifolia" "4a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" 71
"30" "Schotia latifolia" "4a" "shale" "Tree" "Thicket" "Number of individuals in 1994" 18
"31" "Schotia latifolia" "4a" "shale" "Tree" "Thicket" "Area cover in 2008 (cm^2)" NA
"32" "Schotia latifolia" "4a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
