"Species" "SiteID" "Surface Type" "Plant growth type" "Biome" "Measure" "Value"
"1" "Protea lorifolia" "2a" "shale" "Protea" "Fynbos" "Area cover in 1994 (cm^2)" 0
"2" "Protea lorifolia" "2a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 0
"3" "Protea lorifolia" "2a" "shale" "Protea" "Fynbos" "Number of individuals in 1994" 0
"4" "Protea lorifolia" "2a" "shale" "Protea" "Fynbos" "Area cover in 2008 (cm^2)" 0
"5" "Protea lorifolia" "2a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"6" "Protea lorifolia" "2a" "shale" "Protea" "Fynbos" "Number of individuals in 2008" 0
"7" "Protea lorifolia" "2a" "shale" "Protea" "Fynbos" "Area cover in 2012 (cm^2)" 0
"8" "Protea lorifolia" "2a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"9" "Protea lorifolia" "2a" "shale" "Protea" "Fynbos" "Number of individuals in 2012" 0
"10" "Protea lorifolia" "4a" "shale" "Protea" "Fynbos" "Area cover in 1994 (cm^2)" 783
"11" "Protea lorifolia" "4a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 272
"12" "Protea lorifolia" "4a" "shale" "Protea" "Fynbos" "Number of individuals in 1994" 39
"13" "Protea lorifolia" "4a" "shale" "Protea" "Fynbos" "Area cover in 2008 (cm^2)" 8150
"14" "Protea lorifolia" "4a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 2319
"15" "Protea lorifolia" "4a" "shale" "Protea" "Fynbos" "Number of individuals in 2008" 8
"16" "Protea lorifolia" "4a" "shale" "Protea" "Fynbos" "Area cover in 2012 (cm^2)" 9900
"17" "Protea lorifolia" "4a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"18" "Protea lorifolia" "4a" "shale" "Protea" "Fynbos" "Number of individuals in 2012" 1
